Nome,Tipo,Categoria,Cidade,Bairro,Endereço,Telefone,WhatsApp,E-mail,Site,Instagram,Facebook,LinkedIn,Google Maps,Nota no Google,Quantidade de avaliações,Status,Score comercial,Classificação comercial,Observações comerciais,Duplicado de
X Odontologia,Saúde,Clínica,Guarulhos,Vila Pedro Moreira,"X Odontologia Eireli, 51, Vila Pedro Moreira, Guarulhos, Sp",,,,,,,,https://www.google.com/maps/search/?api=1&query=X+Odontologia+X+ODONTOLOGIA+EIRELI%2C+51%2C+VILA+PEDRO+MOREIRA%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,30,Prioridade Baixa,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518800450197; CNES 0450197; CNPJ 22883174000263; site oficial/redes não coletados nesta fonte,X Odontologia
Centro Medico Sao Lucas,Saúde,Clínica,Itaquaquecetuba,Vila Maria Augusta,"Sistema De Saude Integrado Sao Lucas, 50, Vila Maria Augusta, Itaquaquecetuba, Sp",(11) 4652-4343,,nilton@maternalbabycare.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Centro+Medico+Sao+Lucas+SISTEMA+DE+SAUDE+INTEGRADO+SAO+LUCAS%2C+50%2C+VILA+MARIA+AUGUSTA%2C+ITAQUAQUECETUBA%2C+SP+Itaquaquecetuba+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3523107651805; CNES 7651805; CNPJ 01537809000209; site oficial/redes não coletados nesta fonte,Centro Médico São Lucas
Sanitas Centro De Diagnostico,Saúde,Clínica,Guarulhos,Centro,"Laboratorio De Analises Clinicas Sanitas Eireli, 585, Centro, Guarulhos, Sp",(11) 2472-5129,,qualidade@laboratoriosanitas.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Sanitas+Centro+De+Diagnostico+LABORATORIO+DE+ANALISES+CLINICAS+SANITAS+EIRELI%2C+585%2C+CENTRO%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518807902409; CNES 7902409; CNPJ 49093024000393; site oficial/redes não coletados nesta fonte,Sanitas Centro De Diagnostico
Diagnosticos Da America S A,Saúde,Clínica,Itaquaquecetuba,Vila Virginia,"Diagnosticos Da America S A, 266, Vila Virginia, Itaquaquecetuba, Sp",(11) 4197-5755,,prolegalize@prolegalize.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Diagnosticos+Da+America+S+A+DIAGNOSTICOS+DA+AMERICA+S+A%2C+266%2C+VILA+VIRGINIA%2C+ITAQUAQUECETUBA%2C+SP+Itaquaquecetuba+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3523109944273; CNES 9944273; CNPJ 61486650062618; site oficial/redes não coletados nesta fonte,Diagnosticos Da America S A
Hospital Geral De Itaquaquecetuba,Saúde,Hospital,Itaquaquecetuba,Jardim Nova Itaqua,"Secretaria De Estado Da Saude De Sao Paulo, 48, Jardim Nova Itaqua, Itaquaquecetuba, Sp",,,,,,,,https://www.google.com/maps/search/?api=1&query=Hospital+Geral+De+Itaquaquecetuba+SECRETARIA+DE+ESTADO+DA+SAUDE+DE+SAO+PAULO%2C+48%2C+JARDIM+NOVA+ITAQUA%2C+ITAQUAQUECETUBA%2C+SP+Itaquaquecetuba+SP,,,sem informação,35,Prioridade Baixa,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3523102078562; CNES 2078562; CNPJ 46374500013504; site oficial/redes não coletados nesta fonte,Hospital Geral de Itaquaquecetuba
Unico Clinica Medica E Multidisciplinar Integrada,Saúde,Clínica,Guarulhos,Centro,"Unico Clinica Medica E Multidisciplinar Integrada Ltda, 540, Centro, Guarulhos, Sp",(11) 3473-0280,,recepcao@unicomedicina.com,,,,,https://www.google.com/maps/search/?api=1&query=Unico+Clinica+Medica+E+Multidisciplinar+Integrada+UNICO+CLINICA+MEDICA+E+MULTIDISCIPLINAR+INTEGRADA+LTDA%2C+540%2C+CENTRO%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518804027280; CNES 4027280; CNPJ 48365115000106; site oficial/redes não coletados nesta fonte,Unico Clinica Medica E Multidisciplinar Integrada
Centro Odontologico Suzano,Saúde,Clínica,Suzano,Centro,"Centro Odontologico Suzano Ltda, 102, Centro, Suzano, Sp",02549907000130,,,,,,,https://www.google.com/maps/search/?api=1&query=Centro+Odontologico+Suzano+CENTRO+ODONTOLOGICO+SUZANO+LTDA%2C+102%2C+CENTRO%2C+SUZANO%2C+SP+Suzano+SP,,,sem informação,45,Prioridade Baixa,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3552503694941; CNES 3694941; CNPJ 02549907000130; site oficial/redes não coletados nesta fonte,Centro Odontologico Suzano
Climef Clinica De Especialidades,Saúde,Clínica,Suzano,Parque Suzano,"Climef Clinica De Especialidades Ltda Me, 37, Parque Suzano, Suzano, Sp",(11) 4759-3662,,,,,,,https://www.google.com/maps/search/?api=1&query=Climef+Clinica+De+Especialidades+CLIMEF+CLINICA+DE+ESPECIALIDADES+LTDA+ME%2C+37%2C+PARQUE+SUZANO%2C+SUZANO%2C+SP+Suzano+SP,,,sem informação,45,Prioridade Baixa,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3552507910444; CNES 7910444; CNPJ 08731107000200; site oficial/redes não coletados nesta fonte,Climef Clinica De Especialidades
Clinica Santa Catarina,Saúde,Clínica,Suzano,Jardim Santa Helena,"Clinica Santa Catarina Ltda, 50, Jardim Santa Helena, Suzano, Sp",(01) 14741-1509,,clinica.stacatarina@terra.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Clinica+Santa+Catarina+CLINICA+SANTA+CATARINA+LTDA%2C+50%2C+JARDIM+SANTA+HELENA%2C+SUZANO%2C+SP+Suzano+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3552505546575; CNES 5546575; CNPJ 07430871000194; site oficial/redes não coletados nesta fonte,Clínica Santa Catarina
Hospital Santa Maria De Suzano,Saúde,Hospital,Suzano,Parque Suzano,"Hospital Santa Maria De Suzano S A, 240, Parque Suzano, Suzano, Sp",,,,,,,,https://www.google.com/maps/search/?api=1&query=Hospital+Santa+Maria+De+Suzano+HOSPITAL+SANTA+MARIA+DE+SUZANO+S+A%2C+240%2C+PARQUE+SUZANO%2C+SUZANO%2C+SP+Suzano+SP,,,sem informação,35,Prioridade Baixa,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3552507849184; CNES 7849184; CNPJ 23122790000183; site oficial/redes não coletados nesta fonte,Hospital Santa Maria de Suzano
Pronto Atendimento Antonio Tanoeiro,Saúde,Pronto Atendimento / UPA,Suzano,Palmeiras,"Prefeitura Municipal De Suzano, 319, Palmeiras, Suzano, Sp",(11) 4742-6567,,prontoatenpal@hotmail.com,,,,,https://www.google.com/maps/search/?api=1&query=Pronto+Atendimento+Antonio+Tanoeiro+PREFEITURA+MUNICIPAL+DE+SUZANO%2C+319%2C+PALMEIRAS%2C+SUZANO%2C+SP+Suzano+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3552502034670; CNES 2034670; CNPJ -; site oficial/redes não coletados nesta fonte,Pronto Atendimento Antônio Tanoeiro
Pronto Odonto,Saúde,Pronto Atendimento / UPA,Suzano,Parque Suzano,"Pronto Socorro Odontologico Aba Ltda, 510, Parque Suzano, Suzano, Sp",,,,,,,,https://www.google.com/maps/search/?api=1&query=Pronto+Odonto+PRONTO+SOCORRO+ODONTOLOGICO+ABA+LTDA%2C+510%2C+PARQUE+SUZANO%2C+SUZANO%2C+SP+Suzano+SP,,,sem informação,30,Prioridade Baixa,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3552504670809; CNES 4670809; CNPJ 54116526000160; site oficial/redes não coletados nesta fonte,Pronto Odonto
Laboratorio Deliberato,Saúde,Clínica,Arujá,Vila Flora Regina,"Diagnosticos Da America S A, 59, Vila Flora Regina, Aruja, Sp",(11) 2630-3000,,tributario@dasa.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Laboratorio+Deliberato+DIAGNOSTICOS+DA+AMERICA+S+A%2C+59%2C+VILA+FLORA+REGINA%2C+ARUJA%2C+SP+Aruj%C3%A1+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3503908068305; CNES 8068305; CNPJ 61486650136751; site oficial/redes não coletados nesta fonte,Laboratorio Deliberato
